"CloudletID","Priority","Status","vmID","vmSize","cloudletSize","waitingTimeSeconds","cloudletLength","cloudletCPUCores","StartTime","finishTime","exeTime"
"86","SUCCESS","0","1","32768","0","0.0","1042","2","28.74861803089688","45.97469614818503","17.226078117288154"
"87","SUCCESS","0","6","32768","0","0.0","1397","2","28.74861803089688","32.04888220151537","3.3002641706184903"
"88","SUCCESS","0","3","32768","0","0.0","673","2","28.74861803089688","35.854696148185084","7.106078117288206"
"89","SUCCESS","0","9","32768","0","0.0","834","2","28.74861803089688","35.634696148185085","6.886078117288207"
"90","SUCCESS","0","2","32768","0","0.0","319","2","28.74861803089688","55.865196148184985","27.116578117288107"
"91","SUCCESS","0","2","32768","0","0.0","1113","2","28.74861803089688","49.81519614818502","21.066578117288138"
"92","SUCCESS","0","0","32768","0","0.0","939","2","39.15469614818507","44.65469614818504","5.499999999999972"
"94","SUCCESS","0","6","32768","0","0.0","1679","2","39.15469614818507","42.45469614818505","3.299999999999983"
"95","SUCCESS","0","3","32768","0","0.0","1031","2","39.15469614818507","47.294696148185025","8.139999999999958"
"96","SUCCESS","0","3","32768","0","0.0","1068","2","39.15469614818507","47.514696148185024","8.359999999999957"
"98","SUCCESS","0","8","32768","0","0.0","1435","2","39.15469614818507","64.08919614818495","24.934499999999886"
"100","SUCCESS","0","9","32768","0","0.0","931","2","39.15469614818507","45.97469614818503","6.819999999999965"
"101","SUCCESS","0","1","32768","0","0.0","1389","2","39.15469614818507","63.53919614818495","24.384499999999882"
"103","SUCCESS","0","1","32768","0","0.0","780","2","39.15469614818507","65.95919614818494","26.804499999999877"
"104","SUCCESS","0","6","32768","0","0.0","447","2","39.15469614818507","42.67469614818505","3.519999999999982"
"106","SUCCESS","0","9","32768","0","0.0","228","2","39.15469614818507","46.96469614818503","7.80999999999996"
"108","SUCCESS","0","9","32768","0","0.0","1267","2","39.15469614818507","45.86469614818503","6.709999999999965"
"109","SUCCESS","0","4","32768","0","0.0","966","2","39.15469614818507","46.19469614818503","7.039999999999964"
"111","SUCCESS","0","8","32768","0","0.0","571","2","39.15469614818507","79.11219614818488","39.95749999999981"
