"CloudletID","Priority","Status","vmID","vmSize","cloudletSize","waitingTimeSeconds","cloudletLength","cloudletCPUCores","StartTime","finishTime","exeTime"
"198","SUCCESS","0","8","32768","0","0.0","1198","2","69.16183083854662","149.83183083854877","80.67000000000215"
"199","SUCCESS","0","9","32768","0","0.0","1169","2","69.16183083854662","80.78483083854657","11.622999999999948"
"200","SUCCESS","0","0","32768","0","0.0","908","2","69.16183083854662","77.50783083854658","8.345999999999961"
"202","SUCCESS","0","2","32768","0","0.0","1555","2","69.16183083854662","112.80983083854642","43.6479999999998"
"204","SUCCESS","0","4","32768","0","0.0","836","2","69.16183083854662","84.85483083854655","15.692999999999927"
"206","SUCCESS","0","6","32768","0","0.0","883","2","69.16183083854662","73.2178308385466","4.055999999999983"
"207","SUCCESS","0","7","32768","0","0.0","839","2","69.16183083854662","128.63683083854642","59.474999999999795"
"209","SUCCESS","0","9","32768","0","0.0","191","2","69.16183083854662","90.53583083854652","21.373999999999896"
"212","SUCCESS","0","2","32768","0","0.0","1297","2","69.16183083854662","114.78983083854641","45.62799999999979"
"214","SUCCESS","0","4","32768","0","0.0","1568","2","69.16183083854662","82.98483083854656","13.822999999999936"
"216","SUCCESS","0","6","32768","0","0.0","1639","2","69.16183083854662","73.1078308385466","3.9459999999999837"
"217","SUCCESS","0","7","32768","0","0.0","1171","2","69.16183083854662","118.74983083854639","49.58799999999977"
"218","SUCCESS","0","8","32768","0","0.0","1661","2","69.16183083854662","128.63683083854642","59.474999999999795"
"219","SUCCESS","0","9","32768","0","0.0","647","2","69.16183083854662","82.10483083854656","12.942999999999941"
"222","SUCCESS","0","2","32768","0","0.0","1061","2","78.16783083854658","143.89183083854803","65.72400000000145"
"223","SUCCESS","0","3","32768","0","0.0","745","2","78.16783083854658","103.27283083854647","25.10499999999989"
"224","SUCCESS","0","4","32768","0","0.0","433","2","78.16783083854658","100.42283083854647","22.254999999999896"
"225","SUCCESS","0","5","32768","0","0.0","1235","2","78.16783083854658","173.4558308385514","95.28800000000483"
"229","SUCCESS","0","9","32768","0","0.0","448","2","78.16783083854658","97.67283083854649","19.50499999999991"
"232","SUCCESS","0","2","32768","0","0.0","824","2","78.16783083854658","145.43183083854822","67.26400000000164"
"233","SUCCESS","0","3","32768","0","0.0","1251","2","78.16783083854658","99.65283083854648","21.4849999999999"
"234","SUCCESS","0","4","32768","0","0.0","533","2","78.16783083854658","98.77283083854648","20.604999999999905"
"235","SUCCESS","0","5","32768","0","0.0","1473","2","78.16783083854658","181.91383083855226","103.74600000000568"
"236","SUCCESS","0","6","32768","0","0.0","955","2","78.16783083854658","82.21483083854656","4.046999999999983"
"237","SUCCESS","0","7","32768","0","0.0","839","2","78.16783083854658","150.71183083854888","72.5440000000023"
"239","SUCCESS","0","9","32768","0","0.0","477","2","78.16783083854658","95.1428308385465","16.974999999999923"
"240","SUCCESS","0","0","32768","0","0.0","1737","2","78.16783083854658","89.87583083854652","11.707999999999942"
"242","SUCCESS","0","2","32768","0","0.0","1190","2","78.16783083854658","135.7578308385471","57.59000000000053"
"243","SUCCESS","0","3","32768","0","0.0","843","2","78.16783083854658","101.63283083854647","23.46499999999989"
"245","SUCCESS","0","5","32768","0","0.0","1217","2","78.16783083854658","180.38583083855227","102.21800000000569"
