"CloudletID","Status","vmID","vmSize","cloudletSize","waitingTimeSeconds","cloudletLength","cloudletCPUCores","StartTime","finishTime","exeTime"
"60","SUCCESS","0","32768","0","0.0","19800","2","83.00867924528302","115.57","32.561320754716974"
"61","SUCCESS","1","32768","0","0.0","1800","2","83.00867924528302","94.32342465753425","11.314745412251227"
"62","SUCCESS","2","32768","0","0.0","17600","2","83.00867924528302","2668.980156249856","2585.971477004573"
"63","SUCCESS","3","32768","0","0.0","19400","2","83.00867924528302","1990.2801562491898","1907.2714770039067"
"64","SUCCESS","4","32768","0","0.0","7000","2","83.00867924528302","109.13783783783784","26.129158592554816"
"65","SUCCESS","5","32768","0","0.0","10000","2","83.00867924528302","138.15472527472534","55.14604602944232"
"66","SUCCESS","6","32768","0","0.0","800","2","83.00867924528302","85.31428364088741","2.305604395604391"
"67","SUCCESS","7","32768","0","0.0","19200","2","83.00867924528302","142.7747252747259","59.76604602944289"
"68","SUCCESS","8","32768","0","0.0","12000","2","83.00867924528302","100.77092592592592","17.762246680642903"
"69","SUCCESS","9","32768","0","0.0","4200","2","83.00867924528302","139.80472527472554","56.79604602944252"
"70","SUCCESS","0","32768","0","0.0","7600","2","83.00867924528302","162.91647058823574","79.90779134295272"
"71","SUCCESS","1","32768","0","0.0","9200","2","83.00867924528302","123.17472527472526","40.16604602944224"
"72","SUCCESS","2","32768","0","0.0","12400","2","83.00867924528302","138.26472527472535","55.25604602944233"
"73","SUCCESS","3","32768","0","0.0","15400","2","83.00867924528302","169.1498039215687","86.14112467628567"
"74","SUCCESS","4","32768","0","0.0","18600","2","83.00867924528302","146.5384848484849","63.52980560320188"
"75","SUCCESS","5","32768","0","0.0","18000","2","83.00867924528302","149.6223529411766","66.61367369589357"
"76","SUCCESS","6","32768","0","0.0","2400","2","83.00867924528302","92.99078431372548","9.982105068442465"
"77","SUCCESS","7","32768","0","0.0","9800","2","83.00867924528302","141.67472527472577","58.666046029442754"
"78","SUCCESS","8","32768","0","0.0","3600","2","83.00867924528302","97.3044262295082","14.295746984225175"
"79","SUCCESS","9","32768","0","0.0","19000","2","83.00867924528302","121.63043956043956","38.621760315156536"
"80","SUCCESS","0","32768","0","0.0","15200","2","122.40472527472527","230.9821739130442","108.57744863831893"
"81","SUCCESS","1","32768","0","0.0","16400","2","122.40472527472527","198.06636363636375","75.66163836163848"
"82","SUCCESS","2","32768","0","0.0","10200","2","122.40472527472527","189.11966829298268","66.71494301825742"
"83","SUCCESS","3","32768","0","0.0","4800","2","122.40472527472527","147.93374800637974","25.52902273165448"
"84","SUCCESS","4","32768","0","0.0","11200","2","122.40472527472527","153.96202898550726","31.557303710781994"
"85","SUCCESS","5","32768","0","0.0","16200","2","122.40472527472527","186.38165577342065","63.97693049869538"
"86","SUCCESS","6","32768","0","0.0","11400","2","122.40472527472527","161.7064705882356","39.301745313510324"
"87","SUCCESS","7","32768","0","0.0","19000","2","122.40472527472527","322.4101562500024","200.00543097527714"
"88","SUCCESS","8","32768","0","0.0","10000","2","122.40472527472527","661.3901562500275","538.9854309753023"
"89","SUCCESS","9","32768","0","0.0","1200","2","122.40472527472527","130.2247252747253","7.820000000000036"
"90","SUCCESS","0","32768","0","0.0","18200","2","122.40472527472527","163.13647058823577","40.7317453135105"
"91","SUCCESS","1","32768","0","0.0","12000","2","122.40472527472527","617.7201562500245","495.31543097529925"
"92","SUCCESS","2","32768","0","0.0","6800","2","122.40472527472527","160.82647058823548","38.421745313510215"
"93","SUCCESS","3","32768","0","0.0","9200","2","122.40472527472527","164.83000000000004","42.425274725274775"
"94","SUCCESS","4","32768","0","0.0","5400","2","122.40472527472527","142.88472527472592","20.480000000000658"
"95","SUCCESS","5","32768","0","0.0","4400","2","122.40472527472527","160.1664705882354","37.76174531351013"
"96","SUCCESS","6","32768","0","0.0","17000","2","122.40472527472527","194.65543478260875","72.25070950788349"
"97","SUCCESS","7","32768","0","0.0","1400","2","122.40472527472527","149.6223529411766","27.21762766645132"
"98","SUCCESS","8","32768","0","0.0","14800","2","122.40472527472527","680.3101562500299","557.9054309753046"
"99","SUCCESS","9","32768","0","0.0","12000","2","122.40472527472527","1810.1001562493536","1687.6954309746284"
"100","SUCCESS","0","32768","0","0.0","1800","2","122.40472527472527","138.7047252747254","16.30000000000014"
"101","SUCCESS","1","32768","0","0.0","6400","2","122.40472527472527","242.16925925926031","119.76453398453505"
"102","SUCCESS","2","32768","0","0.0","4800","2","122.40472527472527","7037.190156242753","6914.785430968028"
"103","SUCCESS","3","32768","0","0.0","14800","2","122.40472527472527","198.17636363636376","75.7716383616385"
"104","SUCCESS","4","32768","0","0.0","7600","2","122.40472527472527","145.30472527472622","22.900000000000958"
"105","SUCCESS","5","32768","0","0.0","19800","2","122.40472527472527","211.79736842105314","89.39264314632787"
"106","SUCCESS","6","32768","0","0.0","9400","2","122.40472527472527","149.7323529411766","27.327627666451335"
"107","SUCCESS","7","32768","0","0.0","16200","2","122.40472527472527","185.23980392156867","62.8350786468434"
"108","SUCCESS","8","32768","0","0.0","200","2","122.40472527472527","124.07097527472527","1.6662500000000051"
"109","SUCCESS","9","32768","0","0.0","6400","2","122.40472527472527","149.95235294117663","27.547627666451362"
"110","SUCCESS","0","32768","0","0.0","1200","2","122.40472527472527","144.86472527472617","22.460000000000903"
"111","SUCCESS","1","32768","0","0.0","8200","2","122.40472527472527","162.14647058823564","39.74174531351038"
"112","SUCCESS","2","32768","0","0.0","7000","2","122.40472527472527","169.1498039215687","46.745078646843425"
"113","SUCCESS","3","32768","0","0.0","5800","2","122.40472527472527","150.06235294117664","27.657627666451376"
"114","SUCCESS","4","32768","0","0.0","6600","2","122.40472527472527","160.82647058823548","38.421745313510215"
"115","SUCCESS","5","32768","0","0.0","1600","2","122.40472527472527","138.7047252747254","16.30000000000014"
"116","SUCCESS","6","32768","0","0.0","6400","2","122.40472527472527","146.86848484848494","24.463759573759674"
"117","SUCCESS","7","32768","0","0.0","4000","2","122.40472527472527","412.90015625000893","290.4954309752837"
"118","SUCCESS","8","32768","0","0.0","11200","2","122.40472527472527","176.6420588235297","54.23733354880444"
"119","SUCCESS","9","32768","0","0.0","3800","2","122.40472527472527","133.41303030303033","11.00830502830506"
"120","SUCCESS","0","32768","0","0.0","10400","2","166.30980392156863","194.54543478260874","28.235630861040107"
"121","SUCCESS","1","32768","0","0.0","3000","2","166.30980392156863","182.41980392156864","16.110000000000014"
"122","SUCCESS","2","32768","0","0.0","15000","2","166.30980392156863","6861.9601562432745","6695.650352321706"
"123","SUCCESS","3","32768","0","0.0","15200","2","166.30980392156863","238.20925925925982","71.8994553376912"
"124","SUCCESS","4","32768","0","0.0","16000","2","166.30980392156863","202.68736842105284","36.37756449948421"
"125","SUCCESS","5","32768","0","0.0","9800","2","166.30980392156863","196.90758241758255","30.597778496013916"
"126","SUCCESS","6","32768","0","0.0","11200","2","166.30980392156863","193.21881355932214","26.909009637753513"
"127","SUCCESS","7","32768","0","0.0","5200","2","166.30980392156863","265.2782608695656","98.96845694799697"
"128","SUCCESS","8","32768","0","0.0","16600","2","166.30980392156863","306.3501562500004","140.04035232843177"
