cloudletId,cpuRequest,count,cpu_log,prob
69,0.029786295678064,3,-3.5137068678214742,0.25
70,0.1026266912929895,2,-2.276657231023887,0.3333333333333333
71,0.1269421476496736,2,-2.064023826626531,0.3333333333333333
72,0.0662778819208122,2,-2.71389904347012,0.3333333333333333
77,0.1058506549167141,2,-2.245726094205344,0.3333333333333333
79,0.0971041584786361,2,-2.331971077839425,0.3333333333333333
82,0.1977080162646747,2,-1.6209640020065832,0.3333333333333333
83,0.1500266104326627,2,-1.8969425977354943,0.3333333333333333
84,0.1772665166606619,2,-1.730100935058335,0.3333333333333333
86,0.198229458355631,2,-1.6183300386873676,0.3333333333333333
88,0.1237336628333157,2,-2.0896239037569755,0.3333333333333333
89,0.1583791420108611,2,-1.8427634874966436,0.3333333333333333
90,0.0557979767704407,2,-2.8860176688464834,0.3333333333333333
91,0.2091463232845099,1,-1.5647211605718525,0.5
92,0.1766753568311067,2,-1.7334413727038105,0.3333333333333333
94,0.3200532042287972,1,-1.1392680337935701,0.5
95,0.1960283079848904,2,-1.629496201686072,0.3333333333333333
96,0.2022131338880104,1,-1.5984330195694878,0.5
98,0.2745660961331212,1,-1.2925632596469732,0.5
100,0.1767090869878993,1,-1.7332504749012332,0.5
101,0.2685019169376718,1,-1.3148972256260338,0.5
103,0.145738515900758,3,-1.9259412499896131,0.25
108,0.2430036104501416,1,-1.4146789779324522,0.5
109,0.1817906045702977,1,-1.7048997786055833,0.5
110,0.0772716398973661,3,-2.5604282743115947,0.25
111,0.1040886906325115,3,-2.262511948720049,0.25
112,0.1036784562235755,3,-2.266460936307936,0.25
113,0.1032795972797263,3,-2.2703154317568686,0.25
115,0.1972682788043992,1,-1.6231906553397049,0.5
117,0.1445380271616853,3,-1.9342126423024684,0.25
118,0.1930205246640768,1,-1.6449587503217995,0.5
121,0.232911927529938,1,-1.4570948903077046,0.5
122,0.0621458242614079,3,-2.7782716513533057,0.25
124,0.1520142270801729,3,-1.8837811633043298,0.25
127,0.1024251773610453,3,-2.278622723932002,0.25
129,0.1168379108640744,2,-2.1469676819367756,0.3333333333333333
131,0.1559258799024971,1,-1.8583745134722152,0.5
132,0.1135438932594033,1,-2.1755657920669713,0.5
134,0.0834600493219578,4,-2.4833872128536787,0.2
137,0.3026169465715539,1,-1.1952874759853156,0.5
138,0.230072121384308,2,-1.469362447976005,0.3333333333333333
139,0.1659732847524215,3,-1.7959284388034333,0.25
141,0.2759467729125933,1,-1.2875472836292463,0.5
142,0.1178809459876098,1,-2.13808009613967,0.5
147,0.2071892327972225,2,-1.5741227352114202,0.3333333333333333
148,0.1894463277914466,3,-1.663649525229029,0.25
149,0.161557775466221,1,-1.8228924574692351,0.5
151,0.2384574539970158,2,-1.4335643745167401,0.3333333333333333
152,0.272036767827623,1,-1.3018180459847206,0.5
153,0.1868036981883324,3,-1.677696955801285,0.25
